Cell HMS LINCS ID,Cell Name,Small Molecule HMS LINCS ID,Small Molecule Name,Small Mol Concentration,Small Mol Conc Unit,LJP Library Plate,Replicate,Assay Well,Timepoint,Timepoint Unit,Total Cell Count Before Treatment,Total Cell Count After Treatment,Total Control Cell Count,Relative Cell Count,Normalized Growth Rate Inhibition Value
50029-3,MCF7,10006-101-1,AZD7762,1.11,uM,LJP6,3,L03,72,hr,1389,1326,5740,0.2310,-0.0224
50029-3,MCF7,10006-101-1,AZD7762,3.33,uM,LJP6,1,L02,72,hr,1389,936,5147,0.1819,-0.1885
50029-3,MCF7,10006-101-1,AZD7762,3.33,uM,LJP6,2,L02,72,hr,1389,1238,5447,0.2272,-0.0567
50029-3,MCF7,10006-101-1,AZD7762,3.33,uM,LJP6,3,L02,72,hr,1389,1122,5740,0.1955,-0.0990
50029-3,MCF7,10006-101-1,AZD7762,10,uM,LJP6,1,L01,72,hr,1389,650,5147,0.1263,-0.3309
50029-3,MCF7,10006-101-1,AZD7762,10,uM,LJP6,2,L01,72,hr,1389,800,5447,0.1468,-0.2441
50029-3,MCF7,10006-101-1,AZD7762,10,uM,LJP6,3,L01,72,hr,1389,863,5740,0.1503,-0.2075
50029-3,MCF7,10007-101-1,AZD8055,0.04,uM,LJP6,1,A12,72,hr,1389,1326,5147,0.2576,-0.0243
50029-3,MCF7,10007-101-1,AZD8055,0.04,uM,LJP6,2,A12,72,hr,1389,1941,5447,0.3563,0.1850
50029-3,MCF7,10007-101-1,AZD8055,0.04,uM,LJP6,3,A12,72,hr,1389,1466,5740,0.2554,0.0267
50029-3,MCF7,10007-101-1,AZD8055,0.12,uM,LJP6,1,A11,72,hr,1389,1149,5147,0.2232,-0.0955
50029-3,MCF7,10007-101-1,AZD8055,0.12,uM,LJP6,2,A11,72,hr,1389,1564,5447,0.2871,0.0620
50029-3,MCF7,10007-101-1,AZD8055,0.12,uM,LJP6,3,A11,72,hr,1389,1485,5740,0.2587,0.0332
50029-3,MCF7,10007-101-1,AZD8055,0.37,uM,LJP6,1,A10,72,hr,1389,1177,5147,0.2287,-0.0839
50029-3,MCF7,10007-101-1,AZD8055,0.37,uM,LJP6,2,A10,72,hr,1389,1599,5447,0.2935,0.0740
50029-3,MCF7,10007-101-1,AZD8055,0.37,uM,LJP6,3,A10,72,hr,1389,1578,5740,0.2749,0.0643
50029-3,MCF7,10007-101-1,AZD8055,1.11,uM,LJP6,1,A09,72,hr,1389,1195,5147,0.2322,-0.0765
50029-3,MCF7,10007-101-1,AZD8055,1.11,uM,LJP6,2,A09,72,hr,1389,1633,5447,0.2998,0.0855
50029-3,MCF7,10007-101-1,AZD8055,1.11,uM,LJP6,3,A09,72,hr,1389,1705,5740,0.2970,0.1053
50029-3,MCF7,10007-101-1,AZD8055,3.33,uM,LJP6,1,A08,72,hr,1389,1261,5147,0.2450,-0.0499
50029-3,MCF7,10007-101-1,AZD8055,3.33,uM,LJP6,2,A08,72,hr,1389,1403,5447,0.2575,0.0051
50029-3,MCF7,10007-101-1,AZD8055,3.33,uM,LJP6,3,A08,72,hr,1389,1575,5740,0.2744,0.0633
50029-3,MCF7,10007-101-1,AZD8055,10,uM,LJP6,1,A07,72,hr,1389,895,5147,0.1739,-0.2075
50029-3,MCF7,10007-101-1,AZD8055,10,uM,LJP6,2,A07,72,hr,1389,1281,5447,0.2351,-0.0402
50029-3,MCF7,10007-101-1,AZD8055,10,uM,LJP6,3,A07,72,hr,1389,1185,5740,0.2064,-0.0747
50029-3,MCF7,10008-101-1,Sorafenib,0.04,uM,LJP6,1,B12,72,hr,1389,4484,5147,0.8712,0.8592
50029-3,MCF7,10008-101-1,Sorafenib,0.04,uM,LJP6,2,B12,72,hr,1389,5724,5447,1.0507,1.0508
