cell_line	drug	concentration	cell_count__time0	cell_count	cell_count__ctrl	log10_concentration	GR	rel_cell_count	ctrl_cell_doublings	experiment
BT-20	AZD8055	0.12	1657	2341	5383	-0.9208187539523752	0.2254347276472204	0.43488760913988483	1.6998368227979788	BT-20 AZD8055
BT-20	AZD8055	0.37	1657	1984	5383	-0.431798275933005	0.11177188479814482	0.36856771317109416	1.6998368227979788	BT-20 AZD8055
BT-20	AZD8055	1.11	1657	1987	5383	0.045322978786657475	0.11276055838713717	0.36912502322125207	1.6998368227979788	BT-20 AZD8055
BT-20	AZD8055	3.33	1657	1826	5383	0.5224442335063199	0.058798032763034414	0.33921605052944453	1.6998368227979788	BT-20 AZD8055
BT-20	AZD8055	10	1657	1508	5383	1	-0.05392315225869704	0.28014118521270664	1.6998368227979788	BT-20 AZD8055
BT-20	AZD8055	0.04	1334	2367	3925	-1.3979400086720375	0.44529653173620076	0.6030573248407644	1.5569339874817667	BT-20 AZD8055
BT-20	AZD8055	0.12	1334	1948	3925	-0.9208187539523752	0.2753031132786681	0.49630573248407645	1.5569339874817667	BT-20 AZD8055
BT-20	AZD8055	0.37	1334	1601	3925	-0.431798275933005	0.12432537256076692	0.4078980891719745	1.5569339874817667	BT-20 AZD8055
BT-20	AZD8055	1.11	1334	1506	3925	0.045322978786657475	0.08100762544909124	0.38369426751592356	1.5569339874817667	BT-20 AZD8055
BT-20	AZD8055	3.33	1334	1391	3925	0.5224442335063199	0.02723831076136851	0.3543949044585987	1.5569339874817667	BT-20 AZD8055
BT-20	AZD8055	10	1334	1052	3925	1	-0.1414722068607278	0.26802547770700635	1.5569339874817667	BT-20 AZD8055
BT-20	AZD8055	0.04	1097	1423	3673	-1.3979400086720375	0.1609541231212388	0.3874217261094473	1.7433953703284646	BT-20 AZD8055
BT-20	AZD8055	0.12	1097	1170	3673	-0.9208187539523752	0.03764477322178106	0.3185407024230874	1.7433953703284646	BT-20 AZD8055
BT-20	AZD8055	0.37	1097	1116	3673	-0.431798275933005	0.009898229672481662	0.3038388238497141	1.7433953703284646	BT-20 AZD8055
BT-20	AZD8055	1.11	1097	1050	3673	0.045322978786657475	-0.0248042795974297	0.2858698611489246	1.7433953703284646	BT-20 AZD8055
BT-20	AZD8055	3.33	1097	906	3673	0.5224442335063199	-0.10392004039631253	0.2466648516199292	1.7433953703284646	BT-20 AZD8055
BT-20	AZD8055	10	1097	119	3673	1	-0.7203095579148452	0.032398584263544784	1.7433953703284646	BT-20 AZD8055
BT-20	AZD8330	0.04	1657	4063	5588	-1.3979400086720375	0.6676630543101545	0.7270937723693629	1.7537584181880113	BT-20 AZD8330
BT-20	AZD8330	0.12	1657	4338	5588	-0.9208187539523752	0.7311171628926665	0.7763063707945598	1.7537584181880113	BT-20 AZD8330
BT-20	AZD8330	0.37	1657	4424	5588	-0.431798275933005	0.7506034349929029	0.7916964924838941	1.7537584181880113	BT-20 AZD8330
BT-20	AZD8330	1.11	1657	4371	5588	0.045322978786657475	0.7386139141174859	0.7822118826055834	1.7537584181880113	BT-20 AZD8330
BT-20	AZD8330	3.33	1657	4563	5588	0.5224442335063199	0.7817577905438853	0.816571224051539	1.7537584181880113	BT-20 AZD8330
BT-20	AZD8330	10	1657	4562	5588	1	0.7815351271194388	0.8163922691481746	1.7537584181880113	BT-20 AZD8330
BT-20	AZD8330	0.04	1334	3067	4033	-1.3979400086720375	0.6847156877671061	0.7604760724026779	1.596094739221291	BT-20 AZD8330
BT-20	AZD8330	0.12	1334	3347	4033	-0.9208187539523752	0.7795014734700563	0.829903297793206	1.596094739221291	BT-20 AZD8330
BT-20	AZD8330	0.37	1334	3272	4033	-0.431798275933005	0.7544128104280485	0.8113067195636003	1.596094739221291	BT-20 AZD8330
BT-20	AZD8330	1.11	1334	3298	4033	0.045322978786657475	0.7631342989180756	0.8177535333498637	1.596094739221291	BT-20 AZD8330
BT-20	AZD8330	3.33	1334	3341	4033	0.5224442335063199	0.7775021608861166	0.8284155715348376	1.596094739221291	BT-20 AZD8330
BT-20	AZD8330	10	1334	3412	4033	1	0.8010756091065143	0.8460203322588644	1.596094739221291	BT-20 AZD8330
BT-20	AZD8330	0.04	1097	2875	3846	-1.3979400086720375	0.7029567808661163	0.7475299011960479	1.8097952369367043	BT-20 AZD8330
BT-20	AZD8330	0.12	1097	2907	3846	-0.9208187539523752	0.7134042064000958	0.7558502340093604	1.8097952369367043	BT-20 AZD8330
BT-20	AZD8330	0.37	1097	2988	3846	-0.431798275933005	0.7396216648930707	0.7769110764430577	1.8097952369367043	BT-20 AZD8330
BT-20	AZD8330	1.11	1097	2914	3846	0.045322978786657475	0.7156827095769653	0.7576703068122725	1.8097952369367043	BT-20 AZD8330
BT-20	AZD8330	3.33	1097	3168	3846	0.5224442335063199	0.796768292857867	0.8237129485179407	1.8097952369367043	BT-20 AZD8330
BT-20	AZD8330	10	1097	3259	3846	1	0.825105505420539	0.8473738949557982	1.8097952369367043	BT-20 AZD8330
BT-20	Barasertib	0.04	1657	5249	5588	-1.3979400086720375	0.9298873166835626	0.9393342877594846	1.7537584181880113	BT-20 Barasertib
BT-20	Barasertib	0.12	1657	4476	5588	-0.9208187539523752	0.762306886678308	0.8010021474588404	1.7537584181880113	BT-20 Barasertib
BT-20	Barasertib	0.37	1657	3393	5588	-0.431798275933005	0.5048127281994879	0.607193987115247	1.7537584181880113	BT-20 Barasertib
BT-20	Barasertib	1.11	1657	2554	5588	0.045322978786657475	0.27979498339466957	0.45705082319255547	1.7537584181880113	BT-20 Barasertib
BT-20	Barasertib	3.33	1657	2292	5588	0.5224442335063199	0.2031983745452055	0.4101646385110952	1.7537584181880113	BT-20 Barasertib
BT-20	Barasertib	10	1657	1851	5588	1	0.06516683604202322	0.33124552612741587	1.7537584181880113	BT-20 Barasertib
BT-20	Barasertib	0.04	1334	3344	4033	-1.3979400086720375	0.7785019846462977	0.8291594346640219	1.596094739221291	BT-20 Barasertib
BT-20	Barasertib	0.12	1334	2591	4033	-0.9208187539523752	0.5157781168698945	0.64244978923878	1.596094739221291	BT-20 Barasertib
BT-20	Barasertib	0.37	1334	1947	4033	-0.431798275933005	0.26730877047486	0.48276717084056536	1.596094739221291	BT-20 Barasertib
BT-20	Barasertib	1.11	1334	1544	4033	0.045322978786657475	0.09592102599925423	0.3828415571534838	1.596094739221291	BT-20 Barasertib
BT-20	Barasertib	3.33	1334	1239	4033	0.5224442335063199	-0.045231442091456686	0.30721547235308705	1.596094739221291	BT-20 Barasertib
BT-20	Barasertib	10	1334	999	4033	1	-0.16571587311415714	0.24770642201834864	1.596094739221291	BT-20 Barasertib
BT-20	Barasertib	0.04	1097	2918	3846	-1.3979400086720375	0.7169836118470201	0.7587103484139366	1.8097952369367043	BT-20 Barasertib
BT-20	Barasertib	0.12	1097	2171	3846	-0.9208187539523752	0.4581588132261507	0.5644825793031721	1.8097952369367043	BT-20 Barasertib
BT-20	Barasertib	0.37	1097	2041	3846	-0.431798275933005	0.40924735656280875	0.53068122724909	1.8097952369367043	BT-20 Barasertib
BT-20	Barasertib	1.11	1097	1795	3846	0.045322978786657475	0.31270416361508024	0.4667186687467499	1.8097952369367043	BT-20 Barasertib
BT-20	Barasertib	3.33	1097	1512	3846	0.5224442335063199	0.19397432683658367	0.39313572542901715	1.8097952369367043	BT-20 Barasertib
BT-20	Barasertib	10	1097	1145	3846	1	0.023945343549201636	0.29771190847633905	1.8097952369367043	BT-20 Barasertib
BT-20	BI-2536	0.04	1657	1491	5383	-1.3979400086720375	-0.06021211184847386	0.27698309492847856	1.6998368227979788	BT-20 BI-2536
BT-20	BI-2536	0.12	1657	1511	5383	-0.9208187539523752	-0.0528163720851369	0.28069849526286456	1.6998368227979788	BT-20 BI-2536
BT-20	BI-2536	0.37	1657	1544	5383	-0.431798275933005	-0.04070092604907882	0.2868289058146015	1.6998368227979788	BT-20 BI-2536
BT-20	BI-2536	1.11	1657	1543	5383	0.045322978786657475	-0.04106648499172616	0.2866431357978822	1.6998368227979788	BT-20 BI-2536
BT-20	BI-2536	3.33	1657	1630	5383	0.5224442335063199	-0.009618327896792178	0.30280512725246145	1.6998368227979788	BT-20 BI-2536
BT-20	BI-2536	10	1657	1646	5383	1	-0.003910730499732007	0.30577744751997027	1.6998368227979788	BT-20 BI-2536
BT-20	BI-2536	0.04	1334	687	3925	-1.3979400086720375	-0.34703006636937217	0.17503184713375797	1.5569339874817667	BT-20 BI-2536
BT-20	BI-2536	0.12	1334	574	3925	-0.9208187539523752	-0.4182104475868961	0.1462420382165605	1.5569339874817667	BT-20 BI-2536
BT-20	BI-2536	0.37	1334	624	3925	-0.431798275933005	-0.38614833823921735	0.15898089171974522	1.5569339874817667	BT-20 BI-2536
BT-20	BI-2536	1.11	1334	688	3925	0.045322978786657475	-0.3464197524963297	0.17528662420382166	1.5569339874817667	BT-20 BI-2536
BT-20	BI-2536	3.33	1334	769	3925	0.5224442335063199	-0.2979860017999053	0.19592356687898088	1.5569339874817667	BT-20 BI-2536
BT-20	BI-2536	10	1334	716	3925	1	-0.3294575286527309	0.1824203821656051	1.5569339874817667	BT-20 BI-2536
BT-20	BI-2536	0.04	1097	876	3673	-1.3979400086720375	-0.12106151070543969	0.23849714130138852	1.7433953703284646	BT-20 BI-2536
BT-20	BI-2536	0.12	1097	846	3673	-0.9208187539523752	-0.13845519422209196	0.2303294309828478	1.7433953703284646	BT-20 BI-2536
BT-20	BI-2536	0.37	1097	800	3673	-0.431798275933005	-0.16564512833024925	0.21780560849441874	1.7433953703284646	BT-20 BI-2536
BT-20	BI-2536	1.11	1097	916	3673	0.045322978786657475	-0.09826019176460732	0.24938742172610945	1.7433953703284646	BT-20 BI-2536
BT-20	BI-2536	3.33	1097	875	3673	0.5224442335063199	-0.12163716829221094	0.2382248842907705	1.7433953703284646	BT-20 BI-2536
BT-20	BI-2536	10	1097	951	3673	1	-0.07865510235880235	0.25891641709774027	1.7433953703284646	BT-20 BI-2536
BT-20	BMS345541	0.04	1657	5435	5383	-1.3979400086720375	1.0113433454234868	1.0096600408694036	1.6998368227979788	BT-20 BMS345541
BT-20	BMS345541	0.12	1657	5506	5383	-0.9208187539523752	1.0267594787497996	1.0228497120564741	1.6998368227979788	BT-20 BMS345541
BT-20	BMS345541	0.37	1657	5520	5383	-0.431798275933005	1.0297895978690796	1.0254504922905443	1.6998368227979788	BT-20 BMS345541
BT-20	BMS345541	1.11	1657	4882	5383	0.045322978786657475	0.8882990454549609	0.90692922162363	1.6998368227979788	BT-20 BMS345541
BT-20	BMS345541	3.33	1657	4482	5383	0.5224442335063199	0.7956839421494026	0.8326212149359093	1.6998368227979788	BT-20 BMS345541
BT-20	BMS345541	10	1657	1686	5383	1	0.010259201763846093	0.3132082481887423	1.6998368227979788	BT-20 BMS345541
BT-20	BMS345541	0.04	1334	4026	3925	-1.3979400086720375	1.0329049420443566	1.025732484076433	1.5569339874817667	BT-20 BMS345541
BT-20	BMS345541	0.12	1334	3799	3925	-0.9208187539523752	0.9585223809601193	0.9678980891719745	1.5569339874817667	BT-20 BMS345541
BT-20	BMS345541	0.37	1334	3830	3925	-0.431798275933005	0.9687722606762328	0.975796178343949	1.5569339874817667	BT-20 BMS345541
BT-20	BMS345541	1.11	1334	3750	3925	0.045322978786657475	0.9422597154639172	0.9554140127388535	1.5569339874817667	BT-20 BMS345541
BT-20	BMS345541	3.33	1334	3479	3925	0.5224442335063199	0.8509027050223834	0.8863694267515924	1.5569339874817667	BT-20 BMS345541
BT-20	BMS345541	10	1334	1747	3925	1	0.18914752585068517	0.4450955414012739	1.5569339874817667	BT-20 BMS345541
BT-20	BMS345541	0.04	1097	3601	3673	-1.3979400086720375	0.9774173971095237	0.9803974952355023	1.7433953703284646	BT-20 BMS345541
BT-20	BMS345541	0.12	1097	3421	3673	-0.9208187539523752	0.9201024405356064	0.9313912333242581	1.7433953703284646	BT-20 BMS345541
BT-20	BMS345541	0.37	1097	3237	3673	-0.431798275933005	0.8601681676849355	0.8812959433705418	1.7433953703284646	BT-20 BMS345541
BT-20	BMS345541	1.11	1097	2809	3673	0.045322978786657475	0.7148417273408598	0.7647699428260277	1.7433953703284646	BT-20 BMS345541
BT-20	BMS345541	3.33	1097	2738	3673	0.5224442335063199	0.6898441878277319	0.7454396950721481	1.7433953703284646	BT-20 BMS345541
BT-20	BMS345541	10	1097	711	3673	1	-0.22022172232933523	0.19357473454941465	1.7433953703284646	BT-20 BMS345541
BT-20	Brivanib	0.04	1657	5266	5588	-1.3979400086720375	0.9334488140434445	0.9423765211166786	1.7537584181880113	BT-20 Brivanib
BT-20	Brivanib	0.12	1657	5301	5588	-0.9208187539523752	0.9407657846993192	0.948639942734431	1.7537584181880113	BT-20 Brivanib
BT-20	Brivanib	0.37	1657	5313	5588	-0.431798275933005	0.943269677349718	0.9507874015748031	1.7537584181880113	BT-20 Brivanib
BT-20	Brivanib	1.11	1657	5152	5588	0.045322978786657475	0.9094702228727252	0.9219756621331424	1.7537584181880113	BT-20 Brivanib
BT-20	Brivanib	3.33	1657	4970	5588	0.5224442335063199	0.8707106081654634	0.8894058697208304	1.7537584181880113	BT-20 Brivanib
BT-20	Brivanib	10	1657	4549	5588	1	0.7786385911517195	0.8140658554044381	1.7537584181880113	BT-20 Brivanib
BT-20	Brivanib	0.04	1334	4008	4033	-1.3979400086720375	0.9922234499445113	0.9938011405901315	1.596094739221291	BT-20 Brivanib
BT-20	Brivanib	0.12	1334	3864	4033	-0.9208187539523752	0.9470725115342187	0.9580957103892884	1.596094739221291	BT-20 Brivanib
BT-20	Brivanib	0.37	1334	3929	4033	-0.431798275933005	0.9675295969230437	0.9742127448549467	1.596094739221291	BT-20 Brivanib
BT-20	Brivanib	1.11	1334	3891	4033	0.045322978786657475	0.9555855552559289	0.9647904785519464	1.596094739221291	BT-20 Brivanib
BT-20	Brivanib	3.33	1334	3894	4033	0.5224442335063199	0.9565300850647782	0.9655343416811307	1.596094739221291	BT-20 Brivanib
BT-20	Brivanib	10	1334	3351	4033	1	0.780833604935282	0.830895115298785	1.596094739221291	BT-20 Brivanib
BT-20	Brivanib	0.04	1097	3576	3846	-1.3979400086720375	0.9211574242992036	0.9297971918876755	1.8097952369367043	BT-20 Brivanib
BT-20	Brivanib	0.12	1097	3567	3846	-0.9208187539523752	0.9184842746172224	0.9274570982839313	1.8097952369367043	BT-20 Brivanib
BT-20	Brivanib	0.37	1097	3699	3846	-0.431798275933005	0.9573934800356143	0.9617784711388455	1.8097952369367043	BT-20 Brivanib
BT-20	Brivanib	1.11	1097	3575	3846	0.045322978786657475	0.92086055644314	0.9295371814872595	1.8097952369367043	BT-20 Brivanib
BT-20	Brivanib	3.33	1097	3666	3846	0.5224442335063199	0.9477252270292811	0.953198127925117	1.8097952369367043	BT-20 Brivanib
BT-20	Brivanib	10	1097	3290	3846	1	0.8346777741973448	0.8554342173686947	1.8097952369367043	BT-20 Brivanib
BT-20	Buparlisib	0.04	1657	5689	5588	-1.3979400086720375	1.0205328615032232	1.0180744452397996	1.7537584181880113	BT-20 Buparlisib
BT-20	Buparlisib	0.12	1657	5192	5588	-0.9208187539523752	0.9179094897751443	0.9291338582677166	1.7537584181880113	BT-20 Buparlisib
BT-20	Buparlisib	0.37	1657	3669	5588	-0.431798275933005	0.5734349003801638	0.6565855404438081	1.7537584181880113	BT-20 Buparlisib
BT-20	Buparlisib	1.11	1657	1787	5588	0.045322978786657475	0.04400806958932302	0.3197924123120974	1.7537584181880113	BT-20 Buparlisib
BT-20	Buparlisib	3.33	1657	1133	5588	0.5224442335063199	-0.19487456638763434	0.20275590551181102	1.7537584181880113	BT-20 Buparlisib
BT-20	Buparlisib	10	1657	924	5588	1	-0.2832504012370123	0.16535433070866143	1.7537584181880113	BT-20 Buparlisib
BT-20	Buparlisib	0.04	1334	4150	4033	-1.3979400086720375	1.0361576960174341	1.029010662038185	1.596094739221291	BT-20 Buparlisib
BT-20	Buparlisib	0.12	1334	3831	4033	-0.9208187539523752	0.9366374490058227	0.9499132159682618	1.596094739221291	BT-20 Buparlisib
BT-20	Buparlisib	0.37	1334	2698	4033	-0.431798275933005	0.5546999730849755	0.6689809075130176	1.596094739221291	BT-20 Buparlisib
BT-20	Buparlisib	1.11	1334	1273	4033	0.045322978786657475	-0.028899285662115082	0.3156459211505083	1.596094739221291	BT-20 Buparlisib
BT-20	Buparlisib	3.33	1334	612	4033	0.5224442335063199	-0.3862666138578231	0.15174807835358295	1.596094739221291	BT-20 Buparlisib
BT-20	Buparlisib	10	1334	463	4033	1	-0.48469668947145894	0.11480287627076619	1.596094739221291	BT-20 Buparlisib
BT-20	Buparlisib	0.04	1097	3777	3846	-1.3979400086720375	0.9800934846672655	0.9820592823712948	1.8097952369367043	BT-20 Buparlisib
